service,service_key,category,tariff,tariff_unit,coverage_status,facility_level,facility_levels,exclusion,coverage_condition,limits,source_page,evidence_snippet,raw_text,source_type,confidence,is_free_service
"Covers Prescribed specialized imaging
services including.
➢ MRI
➢ CT scans
➢ CT Angio
➢ Fluoroscopy
➢ Mammography
➢ Specialized ultrasounds (Dopplers)
➢ Echocardiograms (ECHO)
➢ Electroencephalograms ",covers prescribed specialized imaging services including mri ct scans ct angio fluoroscopy mammography specialized ultrasounds dopplers echocardiograms echo electroencephalograms eegs and reviewing and interpreting radiological images giving the diagnostic opinion and providing the referring physician with a detailed report of the imaging findings for treatment planning,ONCOLOGY,11000.0,per_household,included,Level 4,[4],,,{},12,Covers Prescribed specialized imaging services including. ➢ MRI ➢ CT scans ➢ CT Angio ➢ Fluoroscopy ➢ Mammography ➢ Specialized ultrasounds (Dopplers) ➢ Echocardiograms (ECHO) ➢ Electroencephalogra...,"Covers Prescribed specialized imaging
services including.
➢ MRI
➢ CT scans
➢ CT Angio
➢ Fluoroscopy
➢ Mammography
➢ Specialized ultrasounds (Dopplers)
➢ Echocardiograms (ECHO)
➢ Electroencephalograms (EEGs)
and
➢ Reviewing and interpreting
radiological images giving the
diagnostic opinion and providing
the referring physician with a
detailed report of the imaging
findings for treatment planning. ➢ All facilities with required
imaging services.
➢ Fluoroscopy, Mammography,
Echocardiograms,
Electro",enhanced_table_0_row_3,HIGH,
"(i.e. cystic or solid), detection of",i e cystic or solid detection of,OTHER,,,included,,[],,,{},13,"(i.e. cystic or solid), detection of","(i.e. cystic or solid), detection of",enhanced_text,LOW,False
"and injections, Bone/joint evaluation",and injections bone joint evaluation,OTHER,,,included,,[],,,{},13,"and injections, Bone/joint evaluation","and injections, Bone/joint evaluation",enhanced_text,LOW,False
"priapism, and testicular torsion.",priapism and testicular torsion,OTHER,,,included,,[],,,{},13,"priapism, and testicular torsion.","priapism, and testicular torsion.",enhanced_text,LOW,False
"Hypertension in children, Congestive",hypertension in children congestive,OTHER,,,included,,[],,,{},13,"Hypertension in children, Congestive","Hypertension in children, Congestive",enhanced_text,LOW,False
"Spina bifida, Acute Ischemic stroke,",spina bifida acute ischemic stroke,STROKE,,,included,,[],,,{},13,"Spina bifida, Acute Ischemic stroke,","Spina bifida, Acute Ischemic stroke,",enhanced_text,LOW,False
"Infective endocarditis, Hodgkin’s",infective endocarditis hodgkin s,OTHER,,,included,,[],,,{},13,"Infective endocarditis, Hodgkin’s","Infective endocarditis, Hodgkin’s",enhanced_text,LOW,False
"lymphoma, Sickle cell disease, Acute",lymphoma sickle cell disease acute,OTHER,,,included,,[],,,{},13,"lymphoma, Sickle cell disease, Acute","lymphoma, Sickle cell disease, Acute",enhanced_text,LOW,False
purchased where the service is,purchased where the service is,OTHER,,,included,,[],,,{},13,purchased where the service is,purchased where the service is,enhanced_text,LOW,False
available and on a need basis.,available and on a need basis,OTHER,,,included,,[],,,{},13,available and on a need basis.,available and on a need basis.,enhanced_text,LOW,False
➢ All radiology services are to be pre-,all radiology services are to be pre,OTHER,,,included,,[],,,{},13,➢ All radiology services are to be pre-,➢ All radiology services are to be pre-,enhanced_text,LOW,False
PHARMACY PACKAGE,pharmacy package,OTHER,,,included,,[],,,{},13,PHARMACY PACKAGE,PHARMACY PACKAGE,enhanced_text,LOW,False
➢ Medicines for select chronic,medicines for select chronic,OTHER,,,included,,[],,,{},13,➢ Medicines for select chronic,➢ Medicines for select chronic,enhanced_text,LOW,False
"• Diabetes type 1&2,",diabetes type 1 2,OTHER,,,included,,[],,,{},13,"• Diabetes type 1&2,","• Diabetes type 1&2,",enhanced_text,LOW,False
"• Hypertension, ➢ Quarterly limit of 5,000 per person as",hypertension quarterly limit of 5 000 per person as,OTHER,,,included,,[],,,{},13,"• Hypertension, ➢ Quarterly limit of 5,000 per person as","• Hypertension, ➢ Quarterly limit of 5,000 per person as",enhanced_text,LOW,False
"• Asthma, ➢ PPM- Fee for service captured in the chronic disease",asthma ppm fee for service captured in the chronic disease,OTHER,,,included,,[],,,{},13,"• Asthma, ➢ PPM- Fee for service captured in the chronic disease","• Asthma, ➢ PPM- Fee for service captured in the chronic disease",enhanced_text,LOW,False
• Chronic renal disease on registry,chronic renal disease on registry,DIALYSIS,,,included,,[],,,{},13,• Chronic renal disease on registry,• Chronic renal disease on registry,enhanced_text,LOW,False
pharmacy benefits manager,pharmacy benefits manager,OTHER,,,included,,[],,,{},13,pharmacy benefits manager,pharmacy benefits manager,enhanced_text,LOW,False
"(i.e. cystic or solid), detection of
foreign bodies, U/S-guided biopsy
and injections, Bone/joint evaluation
pre-ossification (e.g. DDH in early
months), doppler for venous and
arterial diseases, scro",i e cystic or solid detection of foreign bodies u s guided biopsy and injections bone joint evaluation pre ossification e g ddh in early months doppler for venous and arterial diseases scrotal masses priapism and testicular torsion echo at 2 per household per year carotid stenosis pulmonary embolism kawasaki disease hypertension in children congestive heart failure congenital heart disease spina bifida acute ischemic stroke infective endocarditis hodgkin s lymphoma sickle cell disease acute pericarditis valvular heart disease radiology benefits are to be purchased where the service is available and on a need basis all radiology services are to be pre authorized,STROKE,,,included,,[],,,{},13,"(i.e. cystic or solid), detection of foreign bodies, U/S-guided biopsy and injections, Bone/joint evaluation pre-ossification (e.g. DDH in early months), doppler for venous and arterial diseases, s...","(i.e. cystic or solid), detection of
foreign bodies, U/S-guided biopsy
and injections, Bone/joint evaluation
pre-ossification (e.g. DDH in early
months), doppler for venous and
arterial diseases, scrotal masses,
priapism, and testicular torsion.
➢ ECHO at 2 per household per year:
Carotid stenosis, Pulmonary
embolism, Kawasaki disease,
Hypertension in children, Congestive
heart failure, Congenital heart disease,
Spina bifida, Acute Ischemic stroke,
Infective endocarditis, Hodgkin’s
lymphoma, Sic",enhanced_table_0_row_0,MEDIUM,
"➢ Medicines for select chronic
conditions:-
• Diabetes type 1&2,
• Hypertension,
• Asthma,
• Chronic renal disease on
dialysis
• Post transplant
immunosuppressants",medicines for select chronic conditions diabetes type 1 2 hypertension asthma chronic renal disease on dialysis post transplant immunosuppressants,DIALYSIS,,,included,,[],,,{},13,"➢ Medicines for select chronic conditions:- • Diabetes type 1&2, • Hypertension, • Asthma, • Chronic renal disease on dialysis • Post transplant immunosuppressants ➢ All public facility pharmacies ...","➢ Medicines for select chronic
conditions:-
• Diabetes type 1&2,
• Hypertension,
• Asthma,
• Chronic renal disease on
dialysis
• Post transplant
immunosuppressants ➢ All public facility pharmacies
➢ All faith-based facility
pharmacies
➢ Community pharmacies
individually or through a
pharmacy benefits manager ➢ PPM- Fee for service ➢ Quarterly limit of 5,000 per person as
captured in the chronic disease
registry",enhanced_table_0_row_3,MEDIUM,
• Chronic obstructive,chronic obstructive,OTHER,,,included,,[],,,{},14,• Chronic obstructive,• Chronic obstructive,enhanced_text,LOW,False
• Oncology medicines,oncology medicines,ONCOLOGY,,,included,,[],,,{},14,• Oncology medicines,• Oncology medicines,enhanced_text,LOW,False
• Mental Health long-acting,mental health long acting,MENTAL,,,included,,[],,,{},14,• Mental Health long-acting,• Mental Health long-acting,enhanced_text,LOW,False
SPECIALIZED LABORATORY SERVICE,specialized laboratory service,OTHER,,,included,,[],,,{},14,SPECIALIZED LABORATORY SERVICE,SPECIALIZED LABORATORY SERVICE,enhanced_text,LOW,False
➢ Specialized testing as captured in,specialized testing as captured in,OTHER,,,included,,[],,,{},14,➢ Specialized testing as captured in,➢ Specialized testing as captured in,enhanced_text,LOW,False
the essential laboratory lists and,the essential laboratory lists and,OTHER,,,included,,[],,,{},14,the essential laboratory lists and,the essential laboratory lists and,enhanced_text,LOW,False
chronic conditions:,chronic conditions,OTHER,,,included,,[],,,{},14,chronic conditions:,chronic conditions:,enhanced_text,LOW,False
"• Hypertension,",hypertension,OTHER,,,included,,[],,,{},14,"• Hypertension,","• Hypertension,",enhanced_text,LOW,False
"• Chronic renal disease on ➢ Class C, D and E public",chronic renal disease on class c d and e public,DIALYSIS,,,included,,[],,,{},14,"• Chronic renal disease on ➢ Class C, D and E public","• Chronic renal disease on ➢ Class C, D and E public",enhanced_text,LOW,False
"dialysis facility, faith based, and",dialysis facility faith based and,DIALYSIS,,,included,,[],,,{},14,"dialysis facility, faith based, and","dialysis facility, faith based, and",enhanced_text,LOW,False
➢ PPM- Fee for service captured in the chronic disease,ppm fee for service captured in the chronic disease,OTHER,,,included,,[],,,{},14,➢ PPM- Fee for service captured in the chronic disease,➢ PPM- Fee for service captured in the chronic disease,enhanced_text,LOW,False
• Post transplant contracted independent Class,post transplant contracted independent class,OTHER,,,included,,[],,,{},14,• Post transplant contracted independent Class,• Post transplant contracted independent Class,enhanced_text,LOW,False
"immunosuppression C, D and E laboratories",immunosuppression c d and e laboratories,OTHER,,,included,,[],,,{},14,"immunosuppression C, D and E laboratories","immunosuppression C, D and E laboratories",enhanced_text,LOW,False
"➢ Specialized testing as captured in
the essential laboratory lists and
WHO lists for the
chronic conditions:
• Diabetes type 1&2,
• Hypertension,
• Asthma
• Chronic renal disease on
dialysis
• Post t",specialized testing as captured in the essential laboratory lists and who lists for the chronic conditions diabetes type 1 2 hypertension asthma chronic renal disease on dialysis post transplant immunosuppression chronic obstructive pulmonary disease sickle cell oncology medicines anti d anti snake venom anti rabies,DIALYSIS,,,included,,[],,,{},14,"➢ Specialized testing as captured in the essential laboratory lists and WHO lists for the chronic conditions: • Diabetes type 1&2, • Hypertension, • Asthma • Chronic renal disease on dialysis • Pos...","➢ Specialized testing as captured in
the essential laboratory lists and
WHO lists for the
chronic conditions:
• Diabetes type 1&2,
• Hypertension,
• Asthma
• Chronic renal disease on
dialysis
• Post transplant
immunosuppression
• Chronic obstructive
pulmonary disease
• Sickle cell
• Oncology medicines
• Anti-D
• Anti Snake Venom
• Anti Rabies ➢ Class C, D and E public
facility, faith based, and
contracted independent Class
C, D and E laboratories ➢ PPM- Fee for service ➢ Quarterly limit of 5,000",enhanced_table_0_row_3,MEDIUM,
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",emergency chronic and critical illness fund,EMERGENCY,,,included,,[],,,{},15,"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND","EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",enhanced_text,LOW,False
AMBULANCE EVACUATION SERVICES,ambulance evacuation services,EMERGENCY,,,included,,[],,,{},15,AMBULANCE EVACUATION SERVICES,AMBULANCE EVACUATION SERVICES,enhanced_text,LOW,False
➢ PPM: Fee-for-service- fixed ➢ Accessible by all Kenyans,ppm fee for service fixed accessible by all kenyans,OTHER,,,included,,[],,,{},15,➢ PPM: Fee-for-service- fixed ➢ Accessible by all Kenyans,➢ PPM: Fee-for-service- fixed ➢ Accessible by all Kenyans,enhanced_text,LOW,False
Management of all rate - 25km radius- up to ➢ Procurement of the ground,management of all rate 25km radius up to procurement of the ground,OTHER,,,included,,[],,,{},15,Management of all rate - 25km radius- up to ➢ Procurement of the ground,Management of all rate - 25km radius- up to ➢ Procurement of the ground,enhanced_text,LOW,False
"transfers/evacuations through a KES 4,500 (Intra-metro). evacuation services, as an outsourced",transfers evacuations through a kes 4 500 intra metro evacuation services as an outsourced,OTHER,4500.0,unspecified,included,,[],,,{},15,"transfers/evacuations through a KES 4,500 (Intra-metro). evacuation services, as an outsourced","transfers/evacuations through a KES 4,500 (Intra-metro). evacuation services, as an outsourced",enhanced_text,HIGH,False
National Ambulance Call Centre ➢ A cost per km tariff for service to a provider/consortium of,national ambulance call centre a cost per km tariff for service to a provider consortium of,EMERGENCY,,,included,,[],,,{},15,National Ambulance Call Centre ➢ A cost per km tariff for service to a provider/consortium of,National Ambulance Call Centre ➢ A cost per km tariff for service to a provider/consortium of,enhanced_text,LOW,False
